Num Children,"Age(1-under or equal to 40, Previl; 2-over 40, UnderPrevil)","Sex(1-M,Previl; 2-F,UnderPrevil)","Highest degree (1-More than college, 2-college or less)","Owe a house or not(1-Y,2-N)","Salary(1-High,2-Low or none)"
0,1,0,0,0,0
1,0,1,1,1,1
0,1,0,0,1,0
0,1,1,0,1,0
0,1,1,0,1,0
0,1,1,0,1,0
1,1,1,0,0,0
2,0,1,0,1,0
0,1,1,0,0,0
0,1,1,0,1,0
0,1,0,0,0,0
0,1,0,0,1,0
3,1,1,0,1,0
3,1,1,0,1,0
0,1,1,0,1,0
0,1,1,0,1,0
0,1,1,0,1,0
1,1,1,0,0,0
2,1,1,0,1,0
0,1,1,0,0,0
0,1,0,0,1,0
0,1,1,0,1,0
0,0,1,0,1,0
0,1,1,0,1,0
0,1,1,0,0,0
0,1,1,0,1,0
0,1,1,0,1,0
0,0,1,0,1,1
2,1,1,0,1,0
0,1,1,0,0,0
0,1,1,1,1,0
0,1,0,0,0,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,1,0,1,0
0,1,0,0,1,0
0,1,1,0,1,0
0,1,1,0,1,0
1,1,1,0,0,0
0,1,1,1,1,0
0,1,1,0,1,0
0,0,0,0,1,1
0,1,0,0,0,0
0,0,1,0,1,1
2,1,1,0,1,0
0,1,0,0,0,0
0,1,0,0,1,0
0,1,0,0,0,0
0,1,1,0,1,0
1,1,0,0,0,0
0,1,1,1,1,0
0,1,0,0,1,0
0,1,1,0,1,0
0,1,1,0,1,0
1,1,1,0,1,0
1,0,1,0,1,1
0,1,0,0,1,0
2,1,1,0,0,0
0,1,1,1,1,0
0,1,1,0,1,0
0,1,1,0,1,0
0,1,1,0,0,0
0,1,1,0,1,0
0,1,1,0,1,0
0,0,1,0,1,1
0,0,1,0,1,1
0,1,1,0,0,0
1,0,1,1,0,1
0,1,0,0,0,0
0,1,0,0,0,0
0,1,1,0,1,0
0,1,1,1,1,0
1,1,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,1
0,1,1,0,1,0
0,1,1,0,1,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,1,0
1,0,1,0,1,0
0,1,1,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,1,0,1,0
0,1,1,0,0,0
1,1,1,1,1,0
0,1,1,0,1,0
0,1,0,0,1,0
0,1,1,0,1,0
2,1,0,0,0,0
0,1,1,0,0,0
0,1,1,1,1,0
3,1,1,0,0,0
0,1,1,0,1,0
0,1,0,0,1,0
0,1,1,0,1,0
0,1,1,0,1,0
0,1,0,0,1,0
0,0,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,1,0
1,1,0,0,0,0
0,0,1,0,1,1
1,1,0,0,0,0
